Billions,Month,Category,Percentage,Percentage2
45.847,7/1/2007,DiningIn,0.12394699,0.12394699
45.557,8/1/2007,DiningIn,0.122790846,0.122790846
45.937,9/1/2007,DiningIn,0.122872855,0.122872855
46.161,10/1/2007,DiningIn,0.123158072,0.123158072
46.576,11/1/2007,DiningIn,0.123219539,0.123219539
46.873,12/1/2007,DiningIn,0.124927039,0.124927039
46.834,1/1/2008,DiningIn,0.124857039,0.124857039
46.761,2/1/2008,DiningIn,0.125808482,0.125808482
46.898,3/1/2008,DiningIn,0.126017047,0.126017047
47.428,4/1/2008,DiningIn,0.126879667,0.126879667
47.247,5/1/2008,DiningIn,0.125829596,0.125829596
47.691,6/1/2008,DiningIn,0.126504346,0.126504346
47.795,7/1/2008,DiningIn,0.127421053,0.127421053
47.973,8/1/2008,DiningIn,0.128704345,0.128704345
47.873,9/1/2008,DiningIn,0.130748033,0.130748033
47.691,10/1/2008,DiningIn,0.135113849,0.135113849
47.446,11/1/2008,DiningIn,0.139381031,0.139381031
47.064,12/1/2008,DiningIn,0.141756047,0.141756047
47.505,1/1/2009,DiningIn,0.141065272,0.141065272
46.975,2/1/2009,DiningIn,0.139864825,0.139864825
47.104,3/1/2009,DiningIn,0.142565723,0.142565723
47.012,4/1/2009,DiningIn,0.141952159,0.141952159
47.385,5/1/2009,DiningIn,0.141527608,0.141527608
47.414,6/1/2009,DiningIn,0.139708937,0.139708937
47.252,7/1/2009,DiningIn,0.138712509,0.138712509
47.447,8/1/2009,DiningIn,0.136647054,0.136647054
47.631,9/1/2009,DiningIn,0.140625554,0.140625554
47.573,10/1/2009,DiningIn,0.139322322,0.139322322
47.845,11/1/2009,DiningIn,0.13869523,0.13869523
48.239,12/1/2009,DiningIn,0.139322838,0.139322838
47.943,1/1/2010,DiningIn,0.138259094,0.138259094
48.78,2/1/2010,DiningIn,0.140527771,0.140527771
48.397,3/1/2010,DiningIn,0.136443344,0.136443344
48.152,4/1/2010,DiningIn,0.134946836,0.134946836
48.281,5/1/2010,DiningIn,0.13613435,0.13613435
48.089,6/1/2010,DiningIn,0.135742251,0.135742251
47.821,7/1/2010,DiningIn,0.134797793,0.134797793
48.538,8/1/2010,DiningIn,0.135979067,0.135979067
48.634,9/1/2010,DiningIn,0.135162401,0.135162401
48.797,10/1/2010,DiningIn,0.133886656,0.133886656
49.242,11/1/2010,DiningIn,0.134165613,0.134165613
49.233,12/1/2010,DiningIn,0.133220587,0.133220587
49.74,1/1/2011,DiningIn,0.133564982,0.133564982
50.123,2/1/2011,DiningIn,0.133627481,0.133627481
50.184,3/1/2011,DiningIn,0.132449702,0.132449702
50.764,4/1/2011,DiningIn,0.133377123,0.133377123
50.681,5/1/2011,DiningIn,0.133110087,0.133110087
50.954,6/1/2011,DiningIn,0.132874719,0.132874719
51.087,7/1/2011,DiningIn,0.133017932,0.133017932
51.332,8/1/2011,DiningIn,0.133731063,0.133731063
51.041,9/1/2011,DiningIn,0.131744549,0.131744549
51.475,10/1/2011,DiningIn,0.131704521,0.131704521
51.571,11/1/2011,DiningIn,0.131584856,0.131584856
51.159,12/1/2011,DiningIn,0.130601273,0.130601273
51.73,1/1/2012,DiningIn,0.130819283,0.130819283
51.728,2/1/2012,DiningIn,0.129221469,0.129221469
52.08,3/1/2012,DiningIn,0.129485885,0.129485885
52.345,4/1/2012,DiningIn,0.130839603,0.130839603
52.377,5/1/2012,DiningIn,0.131042748,0.131042748
52.306,6/1/2012,DiningIn,0.132093531,0.132093531
52.516,7/1/2012,DiningIn,0.131923563,0.131923563
52.398,8/1/2012,DiningIn,0.13024738,0.13024738
52.778,9/1/2012,DiningIn,0.129695751,0.129695751
53.071,10/1/2012,DiningIn,0.130778595,0.130778595
52.893,11/1/2012,DiningIn,0.129703922,0.129703922
52.89,12/1/2012,DiningIn,0.128861395,0.128861395
52.987,1/1/2013,DiningIn,0.128404462,0.128404462
53.558,2/1/2013,DiningIn,0.128326589,0.128326589
53.528,3/1/2013,DiningIn,0.129114425,0.129114425
52.978,4/1/2013,DiningIn,0.128164622,0.128164622
53.519,5/1/2013,DiningIn,0.128806258,0.128806258
53.542,6/1/2013,DiningIn,0.12825322,0.12825322
53.777,7/1/2013,DiningIn,0.128297682,0.128297682
53.721,8/1/2013,DiningIn,0.128582199,0.128582199
54.007,9/1/2013,DiningIn,0.128932837,0.128932837
53.921,10/1/2013,DiningIn,0.128363468,0.128363468
53.769,11/1/2013,DiningIn,0.127574008,0.127574008
54.696,12/1/2013,DiningIn,0.129108707,0.129108707
54.466,1/1/2014,DiningIn,0.130059674,0.130059674
54.343,2/1/2014,DiningIn,0.128162314,0.128162314
54.518,3/1/2014,DiningIn,0.126975624,0.126975624
54.707,4/1/2014,DiningIn,0.126329815,0.126329815
54.732,5/1/2014,DiningIn,0.126378206,0.126378206
55.387,6/1/2014,DiningIn,0.12703994,0.12703994
55.297,7/1/2014,DiningIn,0.126774771,0.126774771
55.505,8/1/2014,DiningIn,0.126518657,0.126518657
55.714,9/1/2014,DiningIn,0.127401323,0.127401323
55.848,10/1/2014,DiningIn,0.127161655,0.127161655
56.03,11/1/2014,DiningIn,0.126924366,0.126924366
56.322,12/1/2014,DiningIn,0.128709523,0.128709523
56.228,1/1/2015,DiningIn,0.129490472,0.129490472
56.217,2/1/2015,DiningIn,0.130155746,0.130155746
56.63,3/1/2015,DiningIn,0.12912361,0.12912361
56.433,4/1/2015,DiningIn,0.128631897,0.128631897
56.729,5/1/2015,DiningIn,0.12798825,0.12798825
17.17,1/1/1992,DiningOut,0.104642163,0.104642163
16.99,2/1/1992,DiningOut,0.103433581,0.103433581
16.916,3/1/1992,DiningOut,0.103305709,0.103305709
16.677,4/1/1992,DiningOut,0.101220571,0.101220571
16.602,5/1/1992,DiningOut,0.211533561,0.100243333
16.277,6/1/1992,DiningOut,0.097996364,0.097996364
16.496,7/1/1992,DiningOut,0.098598368,0.098598368
16.733,8/1/1992,DiningOut,0.099721688,0.099721688
16.812,9/1/1992,DiningOut,0.099240291,0.099240291
17.104,10/1/1992,DiningOut,0.100210334,0.100210334
17.42,11/1/1992,DiningOut,0.101856454,0.101856454
17.491,12/1/1992,DiningOut,0.101106968,0.101106968
17.553,1/1/1993,DiningOut,0.100258171,0.100258171
17.478,2/1/1993,DiningOut,0.100581228,0.100581228
17.554,3/1/1993,DiningOut,0.101863887,0.101863887
17.77,4/1/1993,DiningOut,0.100528382,0.100528382
17.821,5/1/1993,DiningOut,0.067102697,0.099868307
18.03,6/1/1993,DiningOut,0.101177883,0.101177883
17.927,7/1/1993,DiningOut,0.099176251,0.099176251
18.201,8/1/1993,DiningOut,0.100729418,0.100729418
18.515,9/1/1993,DiningOut,0.101842684,0.101842684
18.199,10/1/1993,DiningOut,0.09949702,0.09949702
18.153,11/1/1993,DiningOut,0.098259232,0.098259232
18.238,12/1/1993,DiningOut,0.097875378,0.097875378
17.624,1/1/1994,DiningOut,0.095198997,0.095198997
18.425,2/1/1994,DiningOut,0.097965195,0.097965195
18.813,3/1/1994,DiningOut,0.098195085,0.098195085
18.533,4/1/1994,DiningOut,0.096711405,0.096711405
18.6,5/1/1994,DiningOut,0.0974128,0.0974128
18.889,6/1/1994,DiningOut,0.097771175,0.097771175
18.962,7/1/1994,DiningOut,0.097861821,0.097861821
18.868,8/1/1994,DiningOut,0.096188257,0.096188257
18.978,9/1/1994,DiningOut,0.095967717,0.095967717
19.01,10/1/1994,DiningOut,0.095250502,0.095250502
19.028,11/1/1994,DiningOut,0.095271952,0.095271952
19.178,12/1/1994,DiningOut,0.095569841,0.095569841
19.16,1/1/1995,DiningOut,0.095047697,0.095047697
18.911,2/1/1995,DiningOut,0.095325708,0.095325708
19.234,3/1/1995,DiningOut,0.096059532,0.096059532
19.346,4/1/1995,DiningOut,0.096225777,0.096225777
19.45,5/1/1995,DiningOut,0.095816112,0.095816112
19.419,6/1/1995,DiningOut,0.094493132,0.094493132
19.489,7/1/1995,DiningOut,0.09508731,0.09508731
19.715,8/1/1995,DiningOut,0.095458749,0.095458749
19.64,9/1/1995,DiningOut,0.094889312,0.094889312
19.611,10/1/1995,DiningOut,0.09512653,0.09512653
19.609,11/1/1995,DiningOut,0.093975395,0.093975395
19.625,12/1/1995,DiningOut,0.093259644,0.093259644
19.564,1/1/1996,DiningOut,0.093728291,0.093728291
19.742,2/1/1996,DiningOut,0.09311781,0.09311781
19.862,3/1/1996,DiningOut,0.092876014,0.092876014
19.932,4/1/1996,DiningOut,0.092860737,0.092860737
20.094,5/1/1996,DiningOut,0.092897034,0.092897034
19.932,6/1/1996,DiningOut,0.092252579,0.092252579
20.145,7/1/1996,DiningOut,0.093102683,0.093102683
20.14,8/1/1996,DiningOut,0.093087749,0.093087749
20.397,9/1/1996,DiningOut,0.09303503,0.09303503
20.551,10/1/1996,DiningOut,0.092974543,0.092974543
20.789,11/1/1996,DiningOut,0.094072556,0.094072556
20.707,12/1/1996,DiningOut,0.09331765,0.09331765
21.11,1/1/1997,DiningOut,0.09444176,0.09444176
21.136,2/1/1997,DiningOut,0.09376733,0.09376733
21.171,3/1/1997,DiningOut,0.093620653,0.093620653
21.216,4/1/1997,DiningOut,0.094466312,0.094466312
21.23,5/1/1997,DiningOut,0.236567048,0.095241941
21.382,6/1/1997,DiningOut,0.094590529,0.094590529
21.689,7/1/1997,DiningOut,0.094820275,0.094820275
21.674,8/1/1997,DiningOut,0.094515452,0.094515452
21.986,9/1/1997,DiningOut,0.095473415,0.095473415
21.758,10/1/1997,DiningOut,0.094673269,0.094673269
21.504,11/1/1997,DiningOut,0.093298508,0.093298508
21.818,12/1/1997,DiningOut,0.094369737,0.094369737
21.921,1/1/1998,DiningOut,0.094648216,0.094648216
22.132,2/1/1998,DiningOut,0.095534913,0.095534913
22.251,3/1/1998,DiningOut,0.095480233,0.095480233
22.353,4/1/1998,DiningOut,0.094725735,0.094725735
22.436,5/1/1998,DiningOut,0.060601968,0.094644703
22.634,6/1/1998,DiningOut,0.094719574,0.094719574
22.57,7/1/1998,DiningOut,0.095062399,0.095062399
22.743,8/1/1998,DiningOut,0.0962007,0.0962007
22.83,9/1/1998,DiningOut,0.095706416,0.095706416
23.066,10/1/1998,DiningOut,0.095105368,0.095105368
23.157,11/1/1998,DiningOut,0.094786478,0.094786478
23.351,12/1/1998,DiningOut,0.094700641,0.094700641
22.871,1/1/1999,DiningOut,0.092636022,0.092636022
23.27,2/1/1999,DiningOut,0.093262795,0.093262795
23.25,3/1/1999,DiningOut,0.092756237,0.092756237
23.44,4/1/1999,DiningOut,0.09286184,0.09286184
23.5,5/1/1999,DiningOut,0.092251647,0.092251647
23.546,6/1/1999,DiningOut,0.092166656,0.092166656
23.508,7/1/1999,DiningOut,0.091314126,0.091314126
23.664,8/1/1999,DiningOut,0.090926906,0.090926906
23.836,9/1/1999,DiningOut,0.091202669,0.091202669
24.265,10/1/1999,DiningOut,0.092676406,0.092676406
24.421,11/1/1999,DiningOut,0.092195422,0.092195422
24.378,12/1/1999,DiningOut,0.090330374,0.090330374
24.608,1/1/2000,DiningOut,0.091789728,0.091789728
24.887,2/1/2000,DiningOut,0.091489596,0.091489596
25.367,3/1/2000,DiningOut,0.09217191,0.09217191
25.215,4/1/2000,DiningOut,0.093042907,0.093042907
25.193,5/1/2000,DiningOut,0.092819931,0.092819931
25.262,6/1/2000,DiningOut,0.092385898,0.092385898
