Period,Value,Store
7/1/1999,32891,Grocery
7/1/1999,23508,Restaurant
8/1/1999,32878,Grocery
8/1/1999,23664,Restaurant
9/1/1999,33121,Grocery
9/1/1999,23836,Restaurant
10/1/1999,32968,Grocery
10/1/1999,24265,Restaurant
11/1/1999,32972,Grocery
11/1/1999,24421,Restaurant
12/1/1999,34270,Grocery
12/1/1999,24378,Restaurant
1/1/2000,32239,Grocery
1/1/2000,24608,Restaurant
2/1/2000,32567,Grocery
2/1/2000,24887,Restaurant
3/1/2000,33117,Grocery
3/1/2000,25367,Restaurant
4/1/2000,33541,Grocery
4/1/2000,25215,Restaurant
5/1/2000,33221,Grocery
5/1/2000,25193,Restaurant
6/1/2000,33644,Grocery
6/1/2000,25262,Restaurant
7/1/2000,33479,Grocery
7/1/2000,25454,Restaurant
8/1/2000,33554,Grocery
8/1/2000,25342,Restaurant
9/1/2000,33729,Grocery
9/1/2000,25711,Restaurant
10/1/2000,33867,Grocery
10/1/2000,25706,Restaurant
11/1/2000,34071,Grocery
11/1/2000,25698,Restaurant
12/1/2000,34558,Grocery
12/1/2000,25133,Restaurant
1/1/2001,34229,Grocery
1/1/2001,26180,Restaurant
2/1/2001,34602,Grocery
2/1/2001,26069,Restaurant
3/1/2001,34477,Grocery
3/1/2001,26122,Restaurant
4/1/2001,34727,Grocery
4/1/2001,26045,Restaurant
5/1/2001,34781,Grocery
5/1/2001,26278,Restaurant
6/1/2001,34866,Grocery
6/1/2001,26379,Restaurant
7/1/2001,34792,Grocery
7/1/2001,26507,Restaurant
8/1/2001,35043,Grocery
8/1/2001,26853,Restaurant
9/1/2001,35152,Grocery
9/1/2001,26239,Restaurant
10/1/2001,35270,Grocery
10/1/2001,26541,Restaurant
11/1/2001,35414,Grocery
11/1/2001,26597,Restaurant
12/1/2001,35208,Grocery
12/1/2001,27156,Restaurant
1/1/2002,35130,Grocery
1/1/2002,27201,Restaurant
2/1/2002,35114,Grocery
2/1/2002,27384,Restaurant
3/1/2002,35160,Grocery
3/1/2002,27203,Restaurant
4/1/2002,34827,Grocery
4/1/2002,27500,Restaurant
5/1/2002,34941,Grocery
5/1/2002,27378,Restaurant
6/1/2002,34933,Grocery
6/1/2002,27586,Restaurant
7/1/2002,35044,Grocery
7/1/2002,27616,Restaurant
8/1/2002,34874,Grocery
8/1/2002,27607,Restaurant
9/1/2002,34865,Grocery
9/1/2002,27784,Restaurant
10/1/2002,34990,Grocery
10/1/2002,27623,Restaurant
11/1/2002,35157,Grocery
11/1/2002,27916,Restaurant
12/1/2002,35257,Grocery
12/1/2002,28017,Restaurant
1/1/2003,35669,Grocery
1/1/2003,28018,Restaurant
2/1/2003,35570,Grocery
2/1/2003,27979,Restaurant
3/1/2003,35549,Grocery
3/1/2003,28505,Restaurant
4/1/2003,35638,Grocery
4/1/2003,28403,Restaurant
5/1/2003,35225,Grocery
5/1/2003,29048,Restaurant
6/1/2003,35676,Grocery
6/1/2003,29230,Restaurant
7/1/2003,35957,Grocery
7/1/2003,29395,Restaurant
8/1/2003,35890,Grocery
8/1/2003,29844,Restaurant
9/1/2003,35918,Grocery
9/1/2003,29503,Restaurant
10/1/2003,35763,Grocery
10/1/2003,30045,Restaurant
11/1/2003,35679,Grocery
11/1/2003,30229,Restaurant
12/1/2003,35808,Grocery
12/1/2003,29795,Restaurant
1/1/2004,36402,Grocery
1/1/2004,30341,Restaurant
2/1/2004,35890,Grocery
2/1/2004,30461,Restaurant
3/1/2004,36365,Grocery
3/1/2004,30703,Restaurant
4/1/2004,36312,Grocery
4/1/2004,30560,Restaurant
5/1/2004,36528,Grocery
5/1/2004,30712,Restaurant
6/1/2004,36508,Grocery
6/1/2004,30825,Restaurant
7/1/2004,36526,Grocery
7/1/2004,31191,Restaurant
8/1/2004,36680,Grocery
8/1/2004,31036,Restaurant
9/1/2004,36951,Grocery
9/1/2004,31430,Restaurant
10/1/2004,37078,Grocery
10/1/2004,31625,Restaurant
11/1/2004,37286,Grocery
11/1/2004,31659,Restaurant
12/1/2004,37423,Grocery
12/1/2004,32111,Restaurant
1/1/2005,37704,Grocery
1/1/2005,32000,Restaurant
2/1/2005,37553,Grocery
2/1/2005,32505,Restaurant
3/1/2005,37608,Grocery
3/1/2005,32305,Restaurant
4/1/2005,38010,Grocery
4/1/2005,32791,Restaurant
5/1/2005,37945,Grocery
5/1/2005,32778,Restaurant
6/1/2005,38067,Grocery
6/1/2005,33041,Restaurant
7/1/2005,38034,Grocery
7/1/2005,33025,Restaurant
8/1/2005,38358,Grocery
8/1/2005,33229,Restaurant
9/1/2005,38459,Grocery
9/1/2005,33283,Restaurant
10/1/2005,38559,Grocery
10/1/2005,33618,Restaurant
11/1/2005,38586,Grocery
11/1/2005,33986,Restaurant
12/1/2005,38739,Grocery
12/1/2005,33965,Restaurant
1/1/2006,38411,Grocery
1/1/2006,35021,Restaurant
2/1/2006,38889,Grocery
2/1/2006,34535,Restaurant
3/1/2006,38866,Grocery
3/1/2006,34830,Restaurant
4/1/2006,38891,Grocery
4/1/2006,34862,Restaurant
5/1/2006,39242,Grocery
5/1/2006,34877,Restaurant
6/1/2006,39333,Grocery
6/1/2006,34729,Restaurant
7/1/2006,39411,Grocery
7/1/2006,34768,Restaurant
8/1/2006,39666,Grocery
8/1/2006,35367,Restaurant
9/1/2006,39316,Grocery
9/1/2006,35653,Restaurant
10/1/2006,40084,Grocery
10/1/2006,35784,Restaurant
11/1/2006,39909,Grocery
11/1/2006,35846,Restaurant
12/1/2006,40229,Grocery
12/1/2006,37025,Restaurant
1/1/2007,40253,Grocery
1/1/2007,36395,Restaurant
2/1/2007,40646,Grocery
2/1/2007,36053,Restaurant
3/1/2007,40491,Grocery
3/1/2007,36614,Restaurant
4/1/2007,40499,Grocery
4/1/2007,36627,Restaurant
5/1/2007,40701,Grocery
5/1/2007,36732,Restaurant
6/1/2007,40830,Grocery
6/1/2007,37042,Restaurant
7/1/2007,41125,Grocery
7/1/2007,37272,Restaurant
8/1/2007,40874,Grocery
8/1/2007,37189,Restaurant
9/1/2007,41179,Grocery
9/1/2007,37427,Restaurant
10/1/2007,41421,Grocery
10/1/2007,37721,Restaurant
11/1/2007,41826,Grocery
11/1/2007,37609,Restaurant
12/1/2007,42038,Grocery
12/1/2007,38374,Restaurant
1/1/2008,42119,Grocery
1/1/2008,37827,Restaurant
2/1/2008,42065,Grocery
2/1/2008,37215,Restaurant
3/1/2008,42174,Grocery
3/1/2008,37597,Restaurant
4/1/2008,42638,Grocery
4/1/2008,37702,Restaurant
5/1/2008,42437,Grocery
5/1/2008,38101,Restaurant
6/1/2008,42782,Grocery
6/1/2008,38159,Restaurant
7/1/2008,42831,Grocery
7/1/2008,38324,Restaurant
8/1/2008,43036,Grocery
8/1/2008,38257,Restaurant
9/1/2008,42941,Grocery
9/1/2008,38368,Restaurant
10/1/2008,42744,Grocery
10/1/2008,38141,Restaurant
11/1/2008,42559,Grocery
11/1/2008,38120,Restaurant
12/1/2008,42238,Grocery
12/1/2008,38048,Restaurant
1/1/2009,42625,Grocery
1/1/2009,38194,Restaurant
2/1/2009,42125,Grocery
2/1/2009,37927,Restaurant
3/1/2009,42223,Grocery
3/1/2009,37545,Restaurant
4/1/2009,42143,Grocery
4/1/2009,37763,Restaurant
5/1/2009,42449,Grocery
5/1/2009,37751,Restaurant
6/1/2009,42556,Grocery
6/1/2009,37706,Restaurant
7/1/2009,42385,Grocery
7/1/2009,37746,Restaurant
8/1/2009,42513,Grocery
8/1/2009,37642,Restaurant
9/1/2009,42719,Grocery
9/1/2009,37509,Restaurant
10/1/2009,42708,Grocery
10/1/2009,37498,Restaurant
